labID,	depth(cm),	density(g/cm^3),	210Pb(Bq/kg),	sd(210Pb),	thickness(cm),	226Ra(Bq/kg),	sd(226Ra),	settings
Sim-2,	2,	0.100638144907819,	149.831263998671,	6.74240687994021,	1,	14.6721369822287,	0.675,	2022
Sim-3,	3,	0.101725773498201,	194.56948535017,	8.75562684075764,	1,	14.9592180056909,	0.675,0
Sim-4,	4,	0.103342304616167,	244.681015329902,	11.0106456898456,	1,	15.4698999988016,	0.675,2
Sim-5,	5,	0.10547002720851,	273.206667656075,	12.2943000445234,	1,	16.1475539322651,	0.675,	
Sim-6,	6,	0.108085629501251,	284.379042061311,	12.797056892759,	1,	15.2102238303626,	0.675,	
Sim-7,	7,	0.111160454408323,	276.142692446836,	12.4264211601076,	1,	14.7830292889941,	0.675,	
Sim-8,	8,	0.114660813504595,	247.338979237343,	11.1302540656804,	1,	14.2841812162185,	0.675,	
Sim-9,	9,	0.118548356123311,	217.669473199538,	9.79512629397919,	1,	15.0921296363903,	0.675,	
Sim-10,	10,	0.122780489534019,	211.147634602602,	9.5016435571171,	1,	14.3459612609646,	0.675,	
Sim-11,	11,	0.127310845597441,	166.477995380476,	7.49150979212143,	1,	16.0871462520369,	0.675,	
Sim-12,	12,	0.132089788784509,	148.187958300838,	6.66845812353772,	1,	15.2463603894453,	0.675,	
Sim-13,	13,	0.137064959993606,	127.406775727628,	5.73330490774327,	1,	15.7006126479117,	0.675,	
Sim-14,	14,	0.142181850207844,	100.316435864454,	4.51423961390044,	1,	16.160398075813,	0.675,	
Sim-15,	15,	0.147384397707258,	80.9564425886374,	3.64303991648868,	1,	15.255352467089,	0.675,	
Sim-16,	16,	0.152615602292742,	58.1559126260228,	2.61701606817102,	1,	16.1121107371278,	0.675,	
Sim-17,	17,	0.157818149792156,	43.1581639354016,	1.94211737709307,	1,	15.5299301626074,	0.675,	
Sim-18,	18,	0.162935040006394,	37.5516368062641,	1.68982365628189,	1,	14.4691861076584,	0.675,	
Sim-19,	19,	0.167910211215491,	31.001548928374,	1.39506970177683,	1,	14.4700623947145,	0.675,	
Sim-20,	20,	0.172689154402559,	24.0330361746403,	1.08148662785882,	1,	15.4935523039083,	0.675,	
Sim-21,	21,	0.177219510465981,	22.0403942097306,	1,	1,	14.7899161069479,	0.675,	
Sim-22,	22,	0.181451643876689,	20.3344553372303,	1,	1,	13.5633364266088,	0.675,	
Sim-23,	23,	0.185339186495405,	18.851868413532,	1,	1,	14.3294646717721,	0.675,	
Sim-24,	24,	0.188839545591677,	14.4254212856832,	1,	1,	13.6427969847472,	0.675,	
Sim-25,	25,	0.191914370498749,	18.3759076729988,	1,	1,	15.7088223028501,	0.675,	
Sim-26,	26,	0.19452997279149,	16.1907991064704,	1,	1,	14.5319027559677,	0.675,	
Sim-27,	27,	0.196657695383833,	16.191272416735,	1,	1,	14.7183671545974,	0.675,	
Sim-28,	28,	0.198274226501799,	14.7211619836195,	1,	1,	15.3003156750791,	0.675,	
Sim-29,	29,	0.199361855092181,	14.9146395055355,	1,	1,	14.8002959971302,	0.675,	
Sim-30,	30,	0.19990866486854,	14.5069140285932,	1,	1,	14.8853935230846,	0.675,	
